stock_code,start,end,duration_days,duration_type,threshold_used,feature_vector
002119,2019-05-09,2019-05-21,9,short,10,"0.29777777777777775,0.28152777777777754,0.17009259259259243,0.11236111111111116,0.08666666666666639,0.05929078014184381,0.6087500000000001,0.42134259259259327,0.12053240740740713,0.04248611111111127,-0.1444822695035466"
002119,2019-05-09,2019-05-24,12,long,10,"0.29124999999999995,0.26447916666666654,0.22152777777777777,0.1480729166666667,0.10995833333333316,0.05590425531914889,0.5850000000000001,0.4227083333333339,0.26718749999999974,0.10647916666666675,-0.03408776595744737"
002119,2019-09-02,2019-09-10,7,short,10,"0.20071428571428587,0.1948214285714285,0.09226190476190485,0.025178571428571623,0.046071428571428284,0.058389057750760386,0.4516071428571425,0.2011309523809524,-0.07032738095238093,-0.06376785714285736,0.6796094224924012"
002119,2020-01-02,2020-01-08,5,short,10,"0.029500000000000172,0.053999999999999916,0.021499999999999984,0.029250000000000043,0.041799999999999574,0.004170212765957615,0.055250000000000556,0.15775000000000006,0.018499999999999517,0.10579999999999998,0.3859553191489365"
002119,2020-01-02,2020-01-10,7,short,10,"0.04142857142857156,0.04964285714285716,0.05059523809523801,0.029285714285714297,0.04492857142857127,0.004954407294832716,0.0707142857142861,0.11833333333333355,0.059702380952380195,0.08324999999999985,0.4304392097264448"
002119,2020-01-02,2020-01-17,12,long,10,"0.11541666666666679,0.09468750000000004,0.07319444444444434,0.06557291666666669,0.057124999999999794,0.018209219858156118,0.20552083333333382,0.15170138888888932,0.09902777777777698,0.10629166666666674,0.5369840425531921"
002119,2020-01-02,2020-01-21,14,long,10,"0.10142857142857142,0.1059821428571429,0.07869047619047631,0.06687499999999995,0.06521428571428574,0.021747720364741725,0.20848214285714306,0.17961309523809557,0.1151636904761899,0.1160267857142855,0.5807104863221891"
002119,2020-02-07,2020-02-13,5,short,10,"0.21500000000000022,0.027250000000000087,0.0326666666666668,0.05649999999999977,0.07070000000000007,0.065319148936171,0.18175000000000024,-0.09141666666666666,0.03129166666666698,0.1897749999999995,0.9732914893617032"
002119,2020-02-07,2020-02-18,8,short,10,"0.2406250000000001,0.12953124999999988,0.053333333333333455,0.07007812499999999,0.08699999999999974,0.07542553191489398,0.2820312500000004,0.06338541666666653,0.026848958333333783,0.14004687499999924,0.9983656914893626"
